Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
2022-08-13,Premier League,Man United,1,Brighton,2,L,75.0,43.0,18.0,55.147
2022-08-22,Premier League,Brentford,4,Man United,0,L,,,,
2022-08-27,Premier League,Man United,2,Liverpool,1,W,,,,
2022-09-01,Premier League,Southampton,0,Man United,1,W,,,,
2022-09-04,Premier League,Leicester City,0,Man United,1,W,,,,
2022-09-08,"Europa League (Group Stage, Matchday 1 of 6)",Man United,0,Real Sociedad,1,L,,,,
2022-09-15,"Europa League (Group Stage, Matchday 2 of 6)",Sheriff,0,Man United,2,W,,,,
2022-10-02,Premier League,Man City,6,Man United,3,L,,,,
2022-10-06,"Europa League (Group Stage, Matchday 3 of 6)",Omonoia,2,Man United,3,W,,,,
2022-10-09,Premier League,Everton,1,Man United,2,W,,,,
2022-10-13,"Europa League (Group Stage, Matchday 4 of 6)",Man United,1,Omonoia,0,W,,,,
2022-10-16,Premier League,Man United,0,Newcastle,0,D,,,,
2022-10-19,Premier League,Man United,2,Tottenham,0,W,,,,
2022-10-22,Premier League,Chelsea,1,Man United,1,D,,,,
2022-10-27,"Europa League (Group Stage, Matchday 5 of 6)",Man United,3,Sheriff,0,W,,,,
2022-10-30,Premier League,Man United,1,West Ham,0,W,,,,
2022-11-03,"Europa League (Group Stage, Matchday 6 of 6)",Real Sociedad,0,Man United,1,W,,,,
2022-11-06,Premier League,Aston Villa,3,Man United,1,L,,,,
2022-11-10,EFL Cup (Third Round),Man United,4,Aston Villa,2,W,,,,
2022-11-13,Premier League,Fulham,1,Man United,2,W,,,,
2022-12-07,Friendly,CÃ¡diz,4,Man United,2,L,,,,
2022-12-10,Friendly,Real Betis,1,Man United,0,L,,,,
2022-12-21,EFL Cup (Round of 16),Man United,2,Burnley,0,W,,,,
2022-12-27,Premier League,Man United,3,Nottingham Forest,0,W,,,,
2022-12-31,Premier League,Wolves,0,Man United,1,W,,,,
2023-01-03,Premier League,Man United,3,Bournemouth,0,W,,,,
2023-01-06,FA Cup Â· 3rd Round,Man United,3,Everton,1,W,,,,
2023-01-10,EFL Cup Â· Quarter-final,Man United,3,Charlton,0,W,,,,
2023-01-14,Premier League,Man United,2,Man City,1,W,,,,
2023-01-18,Premier League,Crystal Palace,1,Man United,1,D,,,,
2023-01-22,Premier League,Arsenal,3,Man United,2,L,,,,
2023-01-25,EFL Cup Â· Semi-final Â· Leg 1 of 2,Nottm Forest,0,Man United,3,W,,,,
2023-01-28,FA Cup Â· 4th Round,Man United,3,Reading,1,W,,,,
2023-02-01,EFL Cup Â· Semi-final Â· Leg 2 of 2 (Agg: 5-0),Man United,2,Nottm Forest,0,W,,,,
2023-02-04,Premier League,Man United,2,Crystal Palace,1,W,,,,
2023-02-08,Premier League,Man United,2,Leeds United,2,D,,,,
2023-02-12,Premier League,Leeds United,0,Man United,2,W,,,,
2023-02-16,Europa League Â· Round of 32 Â· Leg 1 of 2,Barcelona,2,Man United,2,D,,,,
2023-02-19,Premier League,Man United,3,Leicester City,0,W,,,,
2023-02-23,Europa League Â· Round of 32 Â· Leg 2 of 2 (Agg: 4-3),Man United,2,Barcelona,1,W,,,,
2023-02-26,EFL Cup Â· Final,Man United,2,Newcastle,0,W,,,,
2023-03-01,FA Cup Â· 5th Round,Man United,3,West Ham,1,W,,,,
2023-03-05,Premier League,Liverpool,7,Man United,0,L,,,,
2023-03-09,Europa League Â· Round of 16 Â· Leg 1 of 2,Man United,4,Real Betis,1,W,,,,
2023-03-12,Premier League,Man United,0,Southampton,0,D,,,,
2023-03-16,Europa League Â· Round of 16 Â· Leg 2 of 2 (Agg: 5-1),Real Betis,0,Man United,1,W,,,,
2023-03-19,FA Cup Â· Quarter Finals,Man United,3,Fulham,1,W,,,,
2023-04-02,Premier League,Newcastle,2,Man United,0,L,,,,
2023-04-05,Premier League,Man United,1,Brentford,0,W,,,,
2023-04-08,Premier League,Man United,2,Everton,0,W,,,,
2023-04-13,Europa League Â· Quarter-final Â· Leg 1 of 2,Man United,2,Sevilla,2,D,,,,
2023-04-16,Premier League,Nottm Forest,0,Man United,2,W,,,,
2023-04-20,Europa League Â· Quarter-final Â· Leg 2 of 2 (Agg: 2-5),Sevilla,3,Man United,0,L,,,,
2023-04-23,FA Cup Â· Semi-Finals,Brighton,0 (6),Man United,0 (7),W,,,,
2023-04-27,Premier League,Tottenham,2,Man United,2,D,,,,
2023-04-30,Premier League,Man United,1,Aston Villa,0,W,,,,
2023-05-04,Premier League,Brighton,1,Man United,0,L,,,,
2023-05-07,Premier League,West Ham,1,Man United,0,L,,,,
2023-05-13,Premier League,Bournemouth,0,Man United,1,W,,,,
2023-05-25,Premier League,Man United,4,Chelsea,1,W,,,,
2023-05-28,Premier League,Man United,2,Fulham,1,W,,,,
2023-06-03,FA Cup Â· Final,Man City,2,Man United,1,L,,,,
2023-07-12,Friendly,Man United,2,Leeds United,0,W,,,,
2023-07-19,Friendly,Man United,1,Lyon,0,W,,,,
2023-07-22,Friendly (FTâ€¯(P)),Arsenal,0â€¯(3),Man United,2â€¯(5),W,,,,
2023-07-26,Friendly,Man United,1,Wrexham,3,L,,,,
2023-07-27,Friendly,Real Madrid,2,Man United,0,L,,,,
2023-07-31,Friendly,Man United,2,Dortmund,3,L,,,,
2023-08-05,Friendly,Man United,3,Lens,1,W,,,,
2023-08-06,Friendly,Man United,1,Athletic Club,1,D,,,,
2023-08-14,Premier League,Man United,1,Wolves,0,W,,,,
2023-08-19,Premier League,Tottenham,2,Man United,0,L,,,,
2023-08-26,Premier League,Man United,3,Nottm Forest,2,W,,,,
2023-09-03,Premier League,Arsenal,3,Man United,1,L,,,,
2023-09-16,Premier League,Man United,1,Brighton,3,L,,,,
2023-09-20,"UEFA Champions League (Group Stage, Matchday 1 of 6)",Bayern Munich,4,Man United,3,L,,,,
2023-09-23,Premier League,Burnley,0,Man United,1,W,,,,
2023-09-26,EFL Cup Â· Third Round,Man United,3,Crystal Palace,0,W,,,,
2023-09-30,Premier League,Man United,0,Crystal Palace,1,L,,,,
2023-10-03,"UEFA Champions League (Group Stage, Matchday 2 of 6)",Man United,2,Galatasaray,3,L,,,,
2023-10-07,Premier League,Man United,2,Brentford,1,W,,,,
2023-10-21,Premier League,Sheffield United,1,Man United,2,W,,,,
2023-10-24,"UEFA Champions League (Group Stage, Matchday 3 of 6)",Man United,1,Copenhagen,0,W,,,,
2023-10-29,Premier League,Man United,0,Man City,3,L,,,,
2023-11-01,EFL Cup Â· Round of 16,Man United,0,Newcastle,3,L,,,,
2023-11-04,Premier League,Fulham,0,Man United,1,W,,,,
2023-11-08,"UEFA Champions League (Group Stage, Matchday 4 of 6)",Copenhagen,4,Man United,3,L,,,,
2023-11-11,Premier League,Man United,1,Luton Town,0,W,,,,
2023-11-26,Premier League,Everton,0,Man United,3,W,,,,
2023-11-29,"UEFA Champions League (Group Stage, Matchday 5 of 6)",Galatasaray,3,Man United,3,D,,,,
2023-12-02,Premier League,Newcastle,1,Man United,0,L,,,,
2023-12-06,Premier League,Man United,2,Chelsea,1,W,,,,
2023-12-09,Premier League,Man United,0,Bournemouth,3,L,,,,
2023-12-12,"UEFA Champions League (Group Stage, Matchday 6 of 6)",Man United,0,Bayern Munich,1,L,,,,
2023-12-17,Premier League,Liverpool,0,Man United,0,D,,,,
2023-12-23,Premier League,West Ham,2,Man United,0,L,,,,
2023-12-26,Premier League,Man United,3,Aston Villa,2,W,,,,
2023-12-30,Premier League,Nottm Forest,2,Man United,1,L,,,,
2024-01-08,FA Cup Â· 3rd Round,Wigan Athletic,0,Man United,2,W,,,,
2024-01-14,Premier League,Man United,2,Tottenham,2,D,,,,
2024-01-28,FA Cup Â· 4th Round,Newport County,2,Man United,4,W,,,,
2024-02-01,Premier League,Wolves,3,Man United,4,W,,,,
2024-02-04,Premier League,Man United,3,West Ham,0,W,,,,
2024-02-11,Premier League,Aston Villa,1,Man United,2,W,,,,
2024-02-18,Premier League,Luton Town,1,Man United,2,W,,,,
2024-02-24,Premier League,Man United,1,Fulham,2,L,,,,
2024-02-28,FA Cup Â· 5th Round,Nottm Forest,0,Man United,1,W,,,,
2024-03-03,Premier League,Man City,3,Man United,1,L,,,,
2024-03-09,Premier League,Man United,2,Everton,0,W,,,,
2024-03-17,FA Cup Â· Quarter Finals,Man United,4,Liverpool,3,W,,,,
2024-03-30,Premier League,Brentford,1,Man United,1,D,,,,
2024-04-04,Premier League,Chelsea,4,Man United,3,L,,,,
2024-04-07,Premier League,Man United,2,Liverpool,2,D,,,,
2024-04-13,Premier League,Bournemouth,2,Man United,2,D,,,,
2024-04-21,FA Cup Â· Semi-Finals (FTâ€¯(P)),Coventry,3â€¯(2),Man United,3â€¯(4),W,,,,
2024-04-24,Premier League,Man United,4,Sheffield United,2,W,,,,
2024-04-27,Premier League,Man United,1,Burnley,1,D,,,,
2024-05-06,Premier League,Crystal Palace,4,Man United,0,L,,,,
2024-05-12,Premier League,Man United,0,Arsenal,1,L,,,,
2024-05-15,Premier League,Man United,3,Newcastle,2,W,,,,
2024-05-19,Premier League,Brighton,0,Man United,2,W,,,,
2024-05-25,FA Cup Â· Final,Man City,1,Man United,2,W,,,,
2024-07-15,Friendly,Rosenborg,1,Man United,0,L,,,,
2024-07-20,Friendly,Rangers,0,Man United,2,W,,,,
2024-07-28,Friendly (FTâ€¯(P)),Arsenal,2â€¯(3),Man United,1â€¯(4),L,,,,
2024-08-01,Friendly,Man United,3,Real Betis,2,W,,,,
2024-08-04,Friendly,Man United,0,Liverpool,3,L,,,,
2024-08-10,FA Community Shield Â· Final (FTâ€¯(P)),Man City,1â€¯(7),Man United,1â€¯(6),L,,,,
2024-08-16,Premier League,Man United,1,Fulham,0,W,,,,
2024-08-24,Premier League,Brighton,2,Man United,1,L,,,,
2024-09-01,Premier League,Man United,0,Liverpool,3,L,,,,
2024-09-14,Premier League,Southampton,0,Man United,3,W,,,,
2024-09-17,EFL Cup Â· Third Round,Man United,7,Barnsley,0,W,,,,
2024-09-21,Premier League,Crystal Palace,0,Man United,0,D,,,,
2024-09-25,UEFA Europa League (Matchday 1 of 8),Man United,1,Twente,1,D,,,,
2024-09-28,Premier League,Man United,0,Tottenham,3,L,,,,
